Name,Team,Fixture,eGoals/90,Anytime%
De Bruyne,MCI,(H): NFO,0.61,46%
Foden,MCI,(H): NFO,0.46,37%
Firmino,LIV,(H): NEW,0.43,35%
Haaland,MCI,(H): NFO,0.42,34%
Álvarez,MCI,(H): NFO,0.42,34%
Salah,LIV,(H): NEW,0.40,33%
Mahrez,MCI,(H): NFO,0.39,32%
Grealish,MCI,(H): NFO,0.39,32%
Bernardo,MCI,(H): NFO,0.36,30%
Saka,ARS,(H): AVL,0.33,28%
Carvalho,LIV,(H): NEW,0.32,28%
Harrison,LEE,(H): EVE,0.32,27%
Alexander-Arnold,LIV,(H): NEW,0.31,27%
Luis Díaz,LIV,(H): NEW,0.30,26%
Groß,BHA,(A): FUL,0.29,25%
Rodrigo,LEE,(H): EVE,0.27,24%
Maddison,LEI,(H): MUN,0.26,23%
Sinisterra,LEE,(H): EVE,0.26,23%
Mount,CHE,(A): SOU,0.26,23%
Olise,CRY,(H): BRE,0.26,23%
Kulusevski,TOT,(A): WHU,0.26,23%
Fábio Vieira,ARS,(H): AVL,0.26,23%
James,CHE,(A): SOU,0.25,22%
Barnes,LEI,(H): MUN,0.25,22%
Smith Rowe,ARS,(H): AVL,0.25,22%
Clark,LIV,(H): NEW,0.24,22%
Milner,LIV,(H): NEW,0.24,22%
Son,TOT,(A): WHU,0.24,21%
Ziyech,CHE,(A): SOU,0.23,21%
Gelhardt,LEE,(H): EVE,0.23,20%
Sterling,CHE,(A): SOU,0.23,20%
Lucas Moura,TOT,(A): WHU,0.23,20%
Guedes,WOL,(A): BOU,0.23,20%
Richarlison,TOT,(A): WHU,0.22,20%
Perišić,TOT,(A): WHU,0.22,20%
Tsimikas,LIV,(H): NEW,0.22,20%
Eze,CRY,(H): BRE,0.22,20%
James,LEE,(H): EVE,0.22,20%
Trossard,BHA,(A): FUL,0.21,19%
Nketiah,ARS,(H): AVL,0.21,19%
Christie,BOU,(H): WOL,0.21,19%
Robertson,LIV,(H): NEW,0.21,19%
Gündogan,MCI,(H): NFO,0.21,19%
Ødegaard,ARS,(H): AVL,0.21,19%
Pulisic,CHE,(A): SOU,0.21,19%
Pérez,LEI,(H): MUN,0.21,19%
Edouard,CRY,(H): BRE,0.21,19%
Phillips,MCI,(H): NFO,0.21,19%
Welbeck,BHA,(A): FUL,0.21,19%
Jesus,ARS,(H): AVL,0.21,19%
Elliott,LIV,(H): NEW,0.21,19%
Rodri,MCI,(H): NFO,0.21,19%
Martinelli,ARS,(H): AVL,0.20,19%
Anthony,BOU,(H): WOL,0.20,19%
Neto,WOL,(A): BOU,0.20,19%
Hudson-Odoi,CHE,(A): SOU,0.20,18%
Aaronson,LEE,(H): EVE,0.20,18%
Kane,TOT,(A): WHU,0.20,18%
Xhaka,ARS,(H): AVL,0.20,18%
Ebiowei,CRY,(H): BRE,0.20,18%
Bamford,LEE,(H): EVE,0.20,18%
Sancho,MUN,(A): LEI,0.20,18%
Sergio Gómez,MCI,(H): NFO,0.20,18%
Elanga,MUN,(A): LEI,0.20,18%
Vardy,LEI,(H): MUN,0.19,18%
Podence,WOL,(A): BOU,0.19,17%
Havertz,CHE,(A): SOU,0.19,17%
Bowen,WHU,(H): TOT,0.19,17%
Rashford,MUN,(A): LEI,0.19,17%
Andreas,FUL,(H): BHA,0.18,17%
Hwang,WOL,(A): BOU,0.18,17%
Gabriel,ARS,(H): AVL,0.18,17%
Cancelo,MCI,(H): NFO,0.18,17%
Solanke,BOU,(H): WOL,0.18,17%
Undav,BHA,(A): FUL,0.18,17%
Iheanacho,LEI,(H): MUN,0.18,17%
Mitoma,BHA,(A): FUL,0.18,16%
Albrighton,LEI,(H): MUN,0.18,16%
Mwepu,BHA,(A): FUL,0.18,16%
Ayew,CRY,(H): BRE,0.18,16%
Thiago,LIV,(H): NEW,0.18,16%
Fernandes,MUN,(A): LEI,0.18,16%
Zaha,CRY,(H): BRE,0.17,16%
Dembélé,BOU,(H): WOL,0.17,16%
Toney,BRE,(A): CRY,0.17,16%
Daka,LEI,(H): MUN,0.17,16%
Henderson,LIV,(H): NEW,0.17,16%
Martial,MUN,(A): LEI,0.17,16%
Benrahma,WHU,(H): TOT,0.17,16%
Mbeumo,BRE,(A): CRY,0.17,16%
Stansfield,FUL,(H): BHA,0.17,15%
Mateta,CRY,(H): BRE,0.16,15%
Antonio,WHU,(H): TOT,0.16,15%
Gray,EVE,(A): LEE,0.16,15%
Zinchenko,ARS,(H): AVL,0.16,15%
Lallana,BHA,(A): FUL,0.16,15%
Ronaldo,MUN,(A): LEI,0.16,15%
Damsgaard,BRE,(A): CRY,0.16,15%
Wissa,BRE,(A): CRY,0.16,15%
Gordon,EVE,(A): LEE,0.15,14%
Fornals,WHU,(H): TOT,0.15,14%
Billing,BOU,(H): WOL,0.15,14%
Saint-Maximin,NEW,(A): LIV,0.15,14%
Lewis-Potter,BRE,(A): CRY,0.15,14%
De Cordova-Reid,FUL,(H): BHA,0.15,14%
Kebano,FUL,(H): BHA,0.15,14%
Chilwell,CHE,(A): SOU,0.15,14%
Moore,BOU,(H): WOL,0.15,14%
March,BHA,(A): FUL,0.14,13%
Doherty,TOT,(A): WHU,0.14,13%
Tierney,ARS,(H): AVL,0.14,13%
Cucurella,CHE,(A): SOU,0.14,13%
Bailey,AVL,(A): ARS,0.14,13%
Eriksen,MUN,(A): LEI,0.14,13%
Lamptey,BHA,(A): FUL,0.14,13%
Mitrović,FUL,(H): BHA,0.14,13%
Ward-Prowse,SOU,(H): CHE,0.14,13%
Sambi,ARS,(H): AVL,0.14,13%
Buendía,AVL,(A): ARS,0.14,13%
Cornet,WHU,(H): TOT,0.14,13%
Firpo,LEE,(H): EVE,0.14,13%
Tielemans,LEI,(H): MUN,0.14,13%
Adams,SOU,(H): CHE,0.14,13%
Jiménez,WOL,(A): BOU,0.14,13%
Scamacca,WHU,(H): TOT,0.14,13%
McNeil,EVE,(A): LEE,0.14,13%
Redmond,SOU,(H): CHE,0.13,13%
Klich,LEE,(H): EVE,0.13,12%
A.Armstrong,SOU,(H): CHE,0.13,12%
Dewsbury-Hall,LEI,(H): MUN,0.13,12%
S.Armstrong,SOU,(H): CHE,0.13,12%
R.Sessegnon,TOT,(A): WHU,0.13,12%
Coutinho,AVL,(A): ARS,0.13,12%
Maupay,EVE,(A): LEE,0.13,12%
Aribo,SOU,(H): CHE,0.13,12%
Watkins,AVL,(A): ARS,0.13,12%
Struijk,LEE,(H): EVE,0.13,12%
Jensen,BRE,(A): CRY,0.13,12%
Fred,MUN,(A): LEI,0.13,12%
Kovacic,CHE,(A): SOU,0.13,12%
Rondón,EVE,(A): LEE,0.13,12%
Fraser,NEW,(A): LIV,0.13,12%
Lanzini,WHU,(H): TOT,0.13,12%
Walker,MCI,(H): NFO,0.12,12%
Walcott,SOU,(H): CHE,0.12,12%
Mara,SOU,(H): CHE,0.12,12%
Stones,MCI,(H): NFO,0.12,12%
Spence,TOT,(A): WHU,0.12,11%
Van de Beek,MUN,(A): LEI,0.12,11%
Ings,AVL,(A): ARS,0.12,11%
Cairney,FUL,(H): BHA,0.12,11%
Dias,MCI,(H): NFO,0.12,11%
Moutinho,WOL,(A): BOU,0.12,11%
Emerson Royal,TOT,(A): WHU,0.12,11%
Tavernier,BOU,(H): WOL,0.12,11%
Elneny,ARS,(H): AVL,0.12,11%
Shaw,MUN,(A): LEI,0.12,11%
Estupiñán,BHA,(A): FUL,0.12,11%
Milivojevic,CRY,(H): BRE,0.11,11%
Elyounoussi,SOU,(H): CHE,0.11,11%
Hughes,CRY,(H): BRE,0.11,10%
Archer,AVL,(A): ARS,0.11,10%
Murphy,NEW,(A): LIV,0.11,10%
Fabinho,LIV,(H): NEW,0.11,10%
Bissouma,TOT,(A): WHU,0.11,10%
Thomas,LEI,(H): MUN,0.10,10%
Tomiyasu,ARS,(H): AVL,0.10,10%
Bentancur,TOT,(A): WHU,0.10,10%
Smith,BOU,(H): WOL,0.10,10%
Lerma,BOU,(H): WOL,0.10,10%
Loftus-Cheek,CHE,(A): SOU,0.10,10%
Stacey,BOU,(H): WOL,0.10,10%
Neves,WOL,(A): BOU,0.10,10%
Partey,ARS,(H): AVL,0.10,9%
Cresswell,WHU,(H): TOT,0.10,9%
Mitchell,CRY,(H): BRE,0.10,9%
Aït-Nouri,WOL,(A): BOU,0.10,9%
Coufal,WHU,(H): TOT,0.10,9%
Ajer,BRE,(A): CRY,0.10,9%
Caicedo,BHA,(A): FUL,0.10,9%
Bryan,FUL,(H): BHA,0.10,9%
Dendoncker,WOL,(A): BOU,0.10,9%
Gibbs-White,NFO,(A): MCI,0.10,9%
Pearson,BOU,(H): WOL,0.09,9%
Jorginho,CHE,(A): SOU,0.09,9%
Dalot,MUN,(A): LEI,0.09,9%
Almirón,NEW,(A): LIV,0.09,9%
Richards,CRY,(H): BRE,0.09,9%
Matheus,WOL,(A): BOU,0.09,9%
Roca,LEE,(H): EVE,0.09,9%
C.Doucouré,CRY,(H): BRE,0.09,9%
Mac Allister,BHA,(A): FUL,0.09,9%
Isak,NEW,(A): LIV,0.09,9%
Clyne,CRY,(H): BRE,0.09,9%
Schlupp,CRY,(H): BRE,0.09,9%
Mendy,LEI,(H): MUN,0.09,9%
Cook,BOU,(H): WOL,0.09,8%
Vinagre,EVE,(A): LEE,0.09,8%
Patterson,EVE,(A): LEE,0.09,8%
Tete,FUL,(H): BHA,0.09,8%
Højbjerg,TOT,(A): WHU,0.09,8%
Semedo,WOL,(A): BOU,0.09,8%
Dasilva,BRE,(A): CRY,0.08,8%
Lingard,NFO,(A): MCI,0.08,8%
Mykolenko,EVE,(A): LEE,0.08,8%
Digne,AVL,(A): ARS,0.08,8%
Kristensen,LEE,(H): EVE,0.08,8%
Rice,WHU,(H): TOT,0.08,8%
Casemiro,MUN,(A): LEI,0.08,8%
Zemura,BOU,(H): WOL,0.08,8%
Allan,EVE,(A): LEE,0.08,8%
Wood,NEW,(A): LIV,0.08,8%
Iwobi,EVE,(A): LEE,0.08,8%
Davies,EVE,(A): LEE,0.08,8%
Surridge,NFO,(A): MCI,0.08,8%
Johnson,NFO,(A): MCI,0.08,8%
Baptiste,BRE,(A): CRY,0.08,7%
Jonny,WOL,(A): BOU,0.08,7%
Dennis,NFO,(A): MCI,0.08,7%
Djenepo,SOU,(H): CHE,0.08,7%
Nørgaard,BRE,(A): CRY,0.07,7%
Aké,MCI,(H): NFO,0.07,7%
Mbabu,FUL,(H): BHA,0.07,7%
Henry,BRE,(A): CRY,0.07,7%
Mbete,MCI,(H): NFO,0.07,7%
Castagne,LEI,(H): MUN,0.07,7%
Ndidi,LEI,(H): MUN,0.07,7%
White,ARS,(H): AVL,0.07,7%
Romeu,SOU,(H): CHE,0.07,7%
Janelt,BRE,(A): CRY,0.07,7%
Malacia,MUN,(A): LEI,0.07,7%
Bruno Guimarães,NEW,(A): LIV,0.07,7%
Perraud,SOU,(H): CHE,0.07,7%
Andersen,CRY,(H): BRE,0.07,7%
Reed,FUL,(H): BHA,0.07,7%
McTominay,MUN,(A): LEI,0.07,7%
Adams,LEE,(H): EVE,0.07,7%
Emerson,WHU,(H): TOT,0.07,7%
Onana,EVE,(A): LEE,0.07,7%
Awoniyi,NFO,(A): MCI,0.07,6%
Robinson,FUL,(H): BHA,0.07,6%
Soucek,WHU,(H): TOT,0.07,6%
Trippier,NEW,(A): LIV,0.07,6%
Palhinha,FUL,(H): BHA,0.06,6%
Walker-Peters,SOU,(H): CHE,0.06,6%
Toffolo,NFO,(A): MCI,0.06,6%
Chalobah,CHE,(A): SOU,0.06,6%
Ward,CRY,(H): BRE,0.06,6%
Lavia,SOU,(H): CHE,0.06,6%
S.Longstaff,NEW,(A): LIV,0.06,6%
Coleman,EVE,(A): LEE,0.06,6%
Azpilicueta,CHE,(A): SOU,0.06,6%
N.Williams,NFO,(A): MCI,0.06,6%
McGinn,AVL,(A): ARS,0.06,6%
Gomez,LIV,(H): NEW,0.06,6%
Hickey,BRE,(A): CRY,0.06,6%
Cafú,NFO,(A): MCI,0.06,6%
Joelinton,NEW,(A): LIV,0.06,5%
Valery,SOU,(H): CHE,0.06,5%
Cash,AVL,(A): ARS,0.05,5%
Phillips,LIV,(H): NEW,0.05,5%
Targett,NEW,(A): LIV,0.05,5%
Douglas Luiz,AVL,(A): ARS,0.05,5%
Johnson,WHU,(H): TOT,0.05,5%
Ramsey,AVL,(A): ARS,0.05,5%
Saliba,ARS,(H): AVL,0.05,5%
Justin,LEI,(H): MUN,0.05,5%
Willock,NEW,(A): LIV,0.05,5%
Roerslev,BRE,(A): CRY,0.05,5%
Freuler,NFO,(A): MCI,0.05,5%
Mangala,NFO,(A): MCI,0.04,4%
Colback,NFO,(A): MCI,0.04,4%
Guéhi,CRY,(H): BRE,0.04,4%
Kelly,BOU,(H): WOL,0.04,4%
Coady,EVE,(A): LEE,0.04,4%
Koulibaly,CHE,(A): SOU,0.04,4%
Van Dijk,LIV,(H): NEW,0.04,4%
Biancone,NFO,(A): MCI,0.04,4%
Schär,NEW,(A): LIV,0.04,4%
Kamara,AVL,(A): ARS,0.04,4%
Lenglet,TOT,(A): WHU,0.04,4%
O'Brien,NFO,(A): MCI,0.04,4%
Veltman,BHA,(A): FUL,0.04,4%
Holgate,EVE,(A): LEE,0.04,4%
Cooper,LEE,(H): EVE,0.04,4%
Yates,NFO,(A): MCI,0.04,4%
Keane,EVE,(A): LEE,0.04,3%
Dawson,WHU,(H): TOT,0.03,3%
Tarkowski,EVE,(A): LEE,0.03,3%
Hill,BOU,(H): WOL,0.03,3%
Bech,BRE,(A): CRY,0.03,3%
Koch,LEE,(H): EVE,0.03,3%
Davies,TOT,(A): WHU,0.03,3%
Collins,WOL,(A): BOU,0.03,3%
Senesi,BOU,(H): WOL,0.03,3%
Mings,AVL,(A): ARS,0.03,3%
Webster,BHA,(A): FUL,0.03,3%
Llorente,LEE,(H): EVE,0.03,3%
Martínez,MUN,(A): LEI,0.03,3%
Fofana,CHE,(A): SOU,0.03,3%
Mee,BRE,(A): CRY,0.03,3%
Duffy,FUL,(H): BHA,0.03,3%
Dunk,BHA,(A): FUL,0.03,3%
Sánchez,TOT,(A): WHU,0.03,3%
Thiago Silva,CHE,(A): SOU,0.03,3%
Pickford,EVE,(A): LEE,0.03,3%
Evans,LEI,(H): MUN,0.03,3%
Amartey,LEI,(H): MUN,0.03,3%
Söyüncü,LEI,(H): MUN,0.03,3%
Varane,MUN,(A): LEI,0.03,3%
Tosin,FUL,(H): BHA,0.03,2%
Romero,TOT,(A): WHU,0.03,2%
Boly,WOL,(A): BOU,0.03,2%
Mepham,BOU,(H): WOL,0.02,2%
Maguire,MUN,(A): LEI,0.02,2%
Chambers,AVL,(A): ARS,0.02,2%
Bednarek,SOU,(H): CHE,0.02,2%
Ream,FUL,(H): BHA,0.02,2%
Bella-Kotchap,SOU,(H): CHE,0.02,2%
Kilman,WOL,(A): BOU,0.02,2%
Burn,NEW,(A): LIV,0.02,2%
Botman,NEW,(A): LIV,0.02,2%
Lyanco,SOU,(H): CHE,0.02,2%
Zouma,WHU,(H): TOT,0.02,2%
Kehrer,WHU,(H): TOT,0.02,2%
Jansson,BRE,(A): CRY,0.02,2%
McKenna,NFO,(A): MCI,0.02,2%
Dier,TOT,(A): WHU,0.02,2%
Kouyaté,NFO,(A): MCI,0.02,2%
Salisu,SOU,(H): CHE,0.02,2%
Konsa,AVL,(A): ARS,0.01,1%
Alisson,LIV,(H): NEW,0.01,1%
Cook,NFO,(A): MCI,0.01,1%
Worrall,NFO,(A): MCI,0.01,1%
Sá,WOL,(A): BOU,0.01,1%
Sánchez,BHA,(A): FUL,0.00,0%
Ederson,MCI,(H): NFO,0.00,0%
Leno,FUL,(H): BHA,0.00,0%
Ramsdale,ARS,(H): AVL,0.00,0%
Meslier,LEE,(H): EVE,0.00,0%
Ward,LEI,(H): MUN,0.00,0%
Bazunu,SOU,(H): CHE,0.00,0%
Martínez,AVL,(A): ARS,0.00,0%
Travers,BOU,(H): WOL,0.00,0%
Raya,BRE,(A): CRY,0.00,0%
Mendy,CHE,(A): SOU,0.00,0%
Guaita,CRY,(H): BRE,0.00,0%
De Gea,MUN,(A): LEI,0.00,0%
Pope,NEW,(A): LIV,0.00,0%
Henderson,NFO,(A): MCI,0.00,0%
Lloris,TOT,(A): WHU,0.00,0%
Fabianski,WHU,(H): TOT,0.00,0%
